product_name,product_category_tree,description,description_token
Elegance Polyester Multicolor Abstract Eyelet Door Curtain,Home Furnishing,"Key Features of Elegance Polyester Multicolor Abstract Eyelet Door Curtain Floral Curtain,Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) Price: Rs. 899 This curtain enhances the look of the interiors.This curtain is made from 100% high quality polyester fabric.It features an eyelet style stitch with Metal Ring.It makes the room environment romantic and loving.This curtain is ant- wrinkle and anti shrinkage and have elegant apparance.Give your home a bright and modernistic appeal with these designs. The surreal attention is sure to steal hearts. These contemporary eyelet and valance curtains slide smoothly so when you draw them apart first thing in the morning to welcome the bright sun rays you want to wish good morning to the whole world and when you draw them close in the evening, you create the most special moments of joyous beauty given by the soothing prints. Bring home the elegant curtain that softly filters light in your room so that you get the right amount of sunlight.,Specifications of Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) General Brand Elegance Designed For Door Type Eyelet Model Name Abstract Polyester Door Curtain Set Of 2 Model ID Duster25 Color Multicolor Dimensions Length 213 cm In the Box Number of Contents in Sales Package Pack of 2 Sales Package 2 Curtains Body & Design Material Polyester","['key', 'feature', 'elegance', 'polyester', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'floral', 'curtain', 'elegance', 'polyester', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', '213', 'cm', 'height', 'pack', '2', 'price', 'r', '899', 'curtain', 'enhances', 'look', 'interior', 'curtain', 'make', '100', 'high', 'quality', 'polyester', 'fabric', 'feature', 'eyelet', 'style', 'stitch', 'metal', 'ring', 'make', 'room', 'environment', 'romantic', 'love', 'curtain', 'ant', 'wrinkle', 'anti', 'shrinkage', 'elegant', 'apparance', 'give', 'home', 'bright', 'modernistic', 'appeal', 'design', 'surreal', 'attention', 'sure', 'steal', 'heart', 'contemporary', 'eyelet', 'valance', 'curtain', 'slide', 'smoothly', 'draw', 'apart', 'first', 'thing', 'morning', 'welcome', 'bright', 'sun', 'ray', 'want', 'wish', 'good', 'morning', 'whole', 'world', 'draw', 'close', 'even', 'create', 'special', 'moment', 'joyous', 'beauty', 'give', 'soothe', 'print', 'bring', 'home', 'elegant', 'curtain', 'softly', 'filter', 'light', 'room', 'get', 'right', 'amount', 'sunlight', 'specification', 'elegance', 'polyester', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', '213', 'cm', 'height', 'pack', '2', 'general', 'brand', 'elegance', 'design', 'door', 'type', 'eyelet', 'model', 'name', 'abstract', 'polyester', 'door', 'curtain', 'set', '2', 'model', 'id', 'duster25', 'color', 'multicolor', 'dimension', 'length', '213', 'cm', 'box', 'number', 'content', 'sale', 'package', 'pack', '2', 'sale', 'package', '2', 'curtain', 'body', 'design', 'material', 'polyester']"
Sathiyas Cotton Bath Towel,Baby Care,"Specifications of Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Yellow, Blue) Bath Towel Features Machine Washable Yes Material Cotton Design Self Design General Brand Sathiyas Type Bath Towel GSM 500 Model Name Sathiyas cotton bath towel Ideal For Men, Women, Boys, Girls Model ID asvtwl322 Color Red, Yellow, Blue Size Mediam Dimensions Length 30 inch Width 60 inch In the Box Number of Contents in Sales Package 3 Sales Package 3 Bath Towel","['specification', 'sathiyas', 'cotton', 'bath', 'towel', '3', 'bath', 'towel', 'red', 'yellow', 'blue', 'bath', 'towel', 'feature', 'machine', 'washable', 'yes', 'material', 'cotton', 'design', 'self', 'design', 'general', 'brand', 'sathiyas', 'type', 'bath', 'towel', 'gsm', '500', 'model', 'name', 'sathiyas', 'cotton', 'bath', 'towel', 'ideal', 'men', 'woman', 'boy', 'girl', 'model', 'id', 'asvtwl322', 'color', 'red', 'yellow', 'blue', 'size', 'mediam', 'dimension', 'length', '30', 'inch', 'width', '60', 'inch', 'box', 'number', 'content', 'sale', 'package', '3', 'sale', 'package', '3', 'bath', 'towel']"
Eurospa Cotton Terry Face Towel Set,Baby Care,"Key Features of Eurospa Cotton Terry Face Towel Set Size: small Height: 9 inch GSM: 360,Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Price: Rs. 299 Eurospa brings to you an exclusively designed, 100% soft cotton towels of export quality. All our products have soft texture that takes care of your skin and gives you that enriched feeling you deserve. Eurospa has been exporting its bath towels to lot of renowned brands for last 10 years and is famous for its fine prints, absorbency, softness and durability. NOTE: Our product is 100% cotton, so it is susceptible to shrinkage. Product color may vary from the picture. Size may vary by ±3% WASH CARE: Wash in cold Water, Do not Iron, Do not Bleach, Flat dry, Wash before first use. SIZE- FACE TOWEL - 23 cms X 23 cms.,Specifications of Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Bath Towel Features Material Cotton Terry Design SHUVAM General Brand Eurospa GSM 360 Type Face Towel Set Model Name SHUVAM20PCFTSETASSORTED Ideal For Boys, Girls, Men, Women Model ID SHUVAM20PCFTSETASSORTED Size small Color Assorted Dimensions Weight 350 g Length 9 inch Width 9 inch In the Box Number of Contents in Sales Package 20 Sales Package 20 PIECE FACE TOWEL SET","['key', 'feature', 'eurospa', 'cotton', 'terry', 'face', 'towel', 'set', 'size', 'small', 'height', '9', 'inch', 'gsm', '360', 'eurospa', 'cotton', 'terry', 'face', 'towel', 'set', '20', 'piece', 'face', 'towel', 'set', 'assort', 'price', 'r', '299', 'eurospa', 'brings', 'exclusively', 'design', '100', 'soft', 'cotton', 'towel', 'export', 'quality', 'product', 'soft', 'texture', 'take', 'care', 'skin', 'give', 'enrich', 'feel', 'deserve', 'eurospa', 'export', 'bath', 'towel', 'lot', 'renowned', 'brand', 'last', '10', 'year', 'famous', 'fine', 'print', 'absorbency', 'softness', 'durability', 'note', 'product', '100', 'cotton', 'susceptible', 'shrinkage', 'product', 'color', 'may', 'vary', 'picture', 'size', 'may', 'vary', '3', 'wash', 'care', 'wash', 'cold', 'water', 'iron', 'bleach', 'flat', 'dry', 'wash', 'first', 'use', 'size', 'face', 'towel', '23', 'cm', 'x', '23', 'cm', 'specification', 'eurospa', 'cotton', 'terry', 'face', 'towel', 'set', '20', 'piece', 'face', 'towel', 'set', 'assort', 'bath', 'towel', 'feature', 'material', 'cotton', 'terry', 'design', 'shuvam', 'general', 'brand', 'eurospa', 'gsm', '360', 'type', 'face', 'towel', 'set', 'model', 'name', 'shuvam20pcftsetassorted', 'ideal', 'boy', 'girl', 'men', 'woman', 'model', 'id', 'shuvam20pcftsetassorted', 'size', 'small', 'color', 'assort', 'dimension', 'weight', '350', 'g', 'length', '9', 'inch', 'width', '9', 'inch', 'box', 'number', 'content', 'sale', 'package', '20', 'sale', 'package', '20', 'piece', 'face', 'towel', 'set']"
SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,Home Furnishing,"Key Features of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet Royal Bedsheet Perfact for Wedding & Gifting,Specifications of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet (1 Bedsheet,2 Pillow Cover, Multicolor) General Brand SANTOSH ROYAL FASHION Machine Washable Yes Type Flat Material Cotton Model Name Gold Design Royal Cotton Printed Wedding & Gifted Double Bedsheet With 2 Pillow cover Model ID goldbedi-38 Color Multicolor Size King Fabric Care Machine Wash, Do Not Bleach Dimensions Flat Sheet Width 90 inch / 230 cm Fitted Sheet Width 228 cm Pillow Cover Width 16 inch / 43 cm Pillow Cover Length 28 inch / 72 cm Fitted Sheet Depth 280 cm Fitted Sheet Length 278 cm Flat Sheet Depth 282 cm Flat Sheet Length 110 inch / 280 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 Bedsheet,2 Pillow Cover","['key', 'feature', 'santosh', 'royal', 'fashion', 'cotton', 'print', 'king', 'size', 'double', 'bedsheet', 'royal', 'bedsheet', 'perfact', 'wedding', 'gift', 'specification', 'santosh', 'royal', 'fashion', 'cotton', 'print', 'king', 'size', 'double', 'bedsheet', '1', 'bedsheet', '2', 'pillow', 'cover', 'multicolor', 'general', 'brand', 'santosh', 'royal', 'fashion', 'machine', 'washable', 'yes', 'type', 'flat', 'material', 'cotton', 'model', 'name', 'gold', 'design', 'royal', 'cotton', 'print', 'wedding', 'gift', 'double', 'bedsheet', '2', 'pillow', 'cover', 'model', 'id', 'goldbedi', '38', 'color', 'multicolor', 'size', 'king', 'fabric', 'care', 'machine', 'wash', 'bleach', 'dimension', 'flat', 'sheet', 'width', '90', 'inch', '230', 'cm', 'fit', 'sheet', 'width', '228', 'cm', 'pillow', 'cover', 'width', '16', 'inch', '43', 'cm', 'pillow', 'cover', 'length', '28', 'inch', '72', 'cm', 'fit', 'sheet', 'depth', '280', 'cm', 'fit', 'sheet', 'length', '278', 'cm', 'flat', 'sheet', 'depth', '282', 'cm', 'flat', 'sheet', 'length', '110', 'inch', '280', 'cm', 'box', 'number', 'content', 'sale', 'package', '1', 'sale', 'package', '1', 'bedsheet', '2', 'pillow', 'cover']"
Jaipur Print Cotton Floral King sized Double Bedsheet,Home Furnishing,"Key Features of Jaipur Print Cotton Floral King sized Double Bedsheet 100% cotton,Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) Price: Rs. 998 This nice bed sheet made up of 100% cotton to give you comfort. This bed sheet is hand printed. This bedsheet gives nice look to your room And its fast colour and good quality gives this bedsheet long life.,Specifications of Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) General Machine Washable Yes Brand Jaipur Print Type Flat Model Name jaipur117 Material Cotton Thread Count 140 Model ID jaipur117 Fabric Care machinewash, do not bleach Size King Color White Warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing Dimensions Flat Sheet Width 86 inch / 220 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 29 inch / 75 cm Weight 900 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 0.2 cm Flat Sheet Length 104 inch / 265 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 bed sheet 2 pillow cover","['key', 'feature', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'double', 'bedsheet', '100', 'cotton', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'double', 'bedsheet', '1', 'bed', 'sheet', '2', 'pillow', 'cover', 'white', 'price', 'r', '998', 'nice', 'bed', 'sheet', 'make', '100', 'cotton', 'give', 'comfort', 'bed', 'sheet', 'hand', 'print', 'bedsheet', 'give', 'nice', 'look', 'room', 'fast', 'colour', 'good', 'quality', 'give', 'bedsheet', 'long', 'life', 'specification', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'double', 'bedsheet', '1', 'bed', 'sheet', '2', 'pillow', 'cover', 'white', 'general', 'machine', 'washable', 'yes', 'brand', 'jaipur', 'print', 'type', 'flat', 'model', 'name', 'jaipur117', 'material', 'cotton', 'thread', 'count', '140', 'model', 'id', 'jaipur117', 'fabric', 'care', 'machinewash', 'bleach', 'size', 'king', 'color', 'white', 'warranty', 'waranty', 'product', 'manufacturing', 'defect', 'product', 'exchange', 'onle', 'use', 'returne', 'origional', 'pack', 'dimension', 'flat', 'sheet', 'width', '86', 'inch', '220', 'cm', 'fit', 'sheet', 'width', '0', 'cm', 'pillow', 'cover', 'width', '17', 'inch', '45', 'cm', 'pillow', 'cover', 'length', '29', 'inch', '75', 'cm', 'weight', '900', 'g', 'fit', 'sheet', 'depth', '0', 'cm', 'fit', 'sheet', 'length', '0', 'cm', 'flat', 'sheet', 'depth', '0', '2', 'cm', 'flat', 'sheet', 'length', '104', 'inch', '265', 'cm', 'box', 'number', 'content', 'sale', 'package', '1', 'sale', 'package', '1', 'bed', 'sheet', '2', 'pillow', 'cover']"
Maserati Time R8851116001 Analog Watch  - For Boys,Watches,"Maserati Time R8851116001 Analog Watch  - For Boys - Buy Maserati Time R8851116001 Analog Watch  - For Boys  R8851116001 Online at Rs.24400 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['maserati', 'time', 'r8851116001', 'analog', 'watch', 'boy', 'buy', 'maserati', 'time', 'r8851116001', 'analog', 'watch', 'boy', 'r8851116001', 'online', 'r', '24400', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
"Camerii WM64 Elegance Analog Watch  - For Men, Boys",Watches,"Camerii WM64 Elegance Analog Watch  - For Men, Boys - Buy Camerii WM64 Elegance Analog Watch  - For Men, Boys  WM64 Online at Rs.449 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['camerii', 'wm64', 'elegance', 'analog', 'watch', 'men', 'boy', 'buy', 'camerii', 'wm64', 'elegance', 'analog', 'watch', 'men', 'boy', 'wm64', 'online', 'r', '449', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,Watches,"T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys
                         Price: Rs. 399
				
			Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.
Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.","['star', 'uft', 'tsw', '005', 'bk', 'br', 'analog', 'watch', 'boy', 'price', 'r', '399', 'whether', 'way', 'work', 'travel', 'abroad', 'family', 'lifestyle', 'accessory', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'sophistication', 'class', 'otherwise', 'mundane', 'regular', 'daily', 'wear', 'come', 'suave', 'leather', 'belt', 'intricately', 'design', 'finish', 'timepiece', 'separate', 'rest', 'whether', 'way', 'work', 'travel', 'abroad', 'family', 'lifestyle', 'accessory', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'sophistication', 'class', 'otherwise', 'mundane', 'regular', 'daily', 'wear', 'come', 'suave', 'leather', 'belt', 'intricately', 'design', 'finish', 'timepiece', 'separate', 'rest']"
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",Watches,"Alfajr WY16B Youth Digital Watch  - For Men, Boys - Buy Alfajr WY16B Youth Digital Watch  - For Men, Boys  WY16B Online at Rs.4995 in India Only at Flipkart.com. Azan Times ( For All Cities Around The World ), Prayer Reminders, Qibla Direction, Hijri And Gregorian Calnedars, Qur'An Bookmark, Daily Alrams - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['alfajr', 'wy16b', 'youth', 'digital', 'watch', 'men', 'boy', 'buy', 'alfajr', 'wy16b', 'youth', 'digital', 'watch', 'men', 'boy', 'wy16b', 'online', 'r', '4995', 'india', 'flipkart', 'com', 'azan', 'time', 'city', 'around', 'world', 'prayer', 'reminder', 'qibla', 'direction', 'hijri', 'gregorian', 'calnedars', 'qur', 'bookmark', 'daily', 'alrams', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",Watches,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men - Buy TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men  CAU1116.BA0858 Online at Rs.107750 in India Only at Flipkart.com. Swiss-made, Quartz movement, Scratch resistant, Sapphire crystal glass, Water resistant to 200 metres, Feature Chronograph - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['tag', 'heuer', 'cau1116', 'ba0858', 'formula', '1', 'analog', 'watch', 'boy', 'men', 'buy', 'tag', 'heuer', 'cau1116', 'ba0858', 'formula', '1', 'analog', 'watch', 'boy', 'men', 'cau1116', 'ba0858', 'online', 'r', '107750', 'india', 'flipkart', 'com', 'swiss', 'make', 'quartz', 'movement', 'scratch', 'resistant', 'sapphire', 'crystal', 'glass', 'water', 'resistant', '200', 'metre', 'feature', 'chronograph', 'great', 'discount', 'genuine', 'product', '30', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']"
