product_name,product_category_tree,description,description_token,words
Elegance Polyester Multicolor Abstract Eyelet Door Curtain,Home Furnishing,"Key Features of Elegance Polyester Multicolor Abstract Eyelet Door Curtain Floral Curtain,Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) Price: Rs. 899 This curtain enhances the look of the interiors.This curtain is made from 100% high quality polyester fabric.It features an eyelet style stitch with Metal Ring.It makes the room environment romantic and loving.This curtain is ant- wrinkle and anti shrinkage and have elegant apparance.Give your home a bright and modernistic appeal with these designs. The surreal attention is sure to steal hearts. These contemporary eyelet and valance curtains slide smoothly so when you draw them apart first thing in the morning to welcome the bright sun rays you want to wish good morning to the whole world and when you draw them close in the evening, you create the most special moments of joyous beauty given by the soothing prints. Bring home the elegant curtain that softly filters light in your room so that you get the right amount of sunlight.,Specifications of Elegance Polyester Multicolor Abstract Eyelet Door Curtain (213 cm in Height, Pack of 2) General Brand Elegance Designed For Door Type Eyelet Model Name Abstract Polyester Door Curtain Set Of 2 Model ID Duster25 Color Multicolor Dimensions Length 213 cm In the Box Number of Contents in Sales Package Pack of 2 Sales Package 2 Curtains Body & Design Material Polyester","['key', 'feature', 'elegance', 'polyester', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', 'floral', 'curtain', 'elegance', 'polyester', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', '', 'cm', 'height', 'pack', '', 'price', 'r', '', 'curtain', 'enhances', 'look', 'interior', 'curtain', 'make', '', 'high', 'quality', 'polyester', 'fabric', 'feature', 'eyelet', 'style', 'stitch', 'metal', 'ring', 'make', 'room', 'environment', 'romantic', 'love', 'curtain', 'ant', 'wrinkle', 'anti', 'shrinkage', 'elegant', 'apparance', 'give', 'home', 'bright', 'modernistic', 'appeal', 'design', 'surreal', 'attention', 'sure', 'steal', 'heart', 'contemporary', 'eyelet', 'valance', 'curtain', 'slide', 'smoothly', 'draw', 'apart', 'first', 'thing', 'morning', 'welcome', 'bright', 'sun', 'ray', 'want', 'wish', 'good', 'morning', 'whole', 'world', 'draw', 'close', 'even', 'create', 'special', 'moment', 'joyous', 'beauty', 'give', 'soothe', 'print', 'bring', 'home', 'elegant', 'curtain', 'softly', 'filter', 'light', 'room', 'get', 'right', 'amount', 'sunlight', 'specification', 'elegance', 'polyester', 'multicolor', 'abstract', 'eyelet', 'door', 'curtain', '', 'cm', 'height', 'pack', '', 'general', 'brand', 'elegance', 'design', 'door', 'type', 'eyelet', 'model', 'name', 'abstract', 'polyester', 'door', 'curtain', 'set', '', 'model', 'id', 'duster', 'color', 'multicolor', 'dimension', 'length', '', 'cm', 'box', 'number', 'content', 'sale', 'package', 'pack', '', 'sale', 'package', '', 'curtain', 'body', 'design', 'material', 'polyester']",y fture egance polyester multolor atra eyet door curin floral curin egance polyester multolor atra eyet door curin  cm hght pack  pre r  curin ennces look ier curin ma  high quality polyester fabr fture eyet style stitch mel ring ma room environme roma love curin a ile ai siage ega  give home bright modernist appl design surrl aeion sure stl t coemporary eyet vace curin slide smoothly d apart first g morning wcome bright sun ray wa wish good morning whole world d  even crte special mome ous buty give soothe pri bring home ega curin  filter light room get right amou sunlight specifiion egance polyester multolor atra eyet door curin  cm hght pack  geral bra egance design door type eyet mod name atra polyester door curin set  mod id  color multolor dimension length  cm box nuer coe sale package pack  sale package  curin body design material polyester
Sathiyas Cotton Bath Towel,Baby Care,"Specifications of Sathiyas Cotton Bath Towel (3 Bath Towel, Red, Yellow, Blue) Bath Towel Features Machine Washable Yes Material Cotton Design Self Design General Brand Sathiyas Type Bath Towel GSM 500 Model Name Sathiyas cotton bath towel Ideal For Men, Women, Boys, Girls Model ID asvtwl322 Color Red, Yellow, Blue Size Mediam Dimensions Length 30 inch Width 60 inch In the Box Number of Contents in Sales Package 3 Sales Package 3 Bath Towel","['specification', 'sathiyas', 'cotton', 'bath', 'towel', '', 'bath', 'towel', 'red', 'yellow', 'blue', 'bath', 'towel', 'feature', 'machine', 'washable', 'yes', 'material', 'cotton', 'design', 'self', 'design', 'general', 'brand', 'sathiyas', 'type', 'bath', 'towel', 'gsm', '', 'model', 'name', 'sathiyas', 'cotton', 'bath', 'towel', 'ideal', 'men', 'woman', 'boy', 'girl', 'model', 'id', 'asvtwl', 'color', 'red', 'yellow', 'blue', 'size', 'mediam', 'dimension', 'length', '', 'inch', 'width', '', 'inch', 'box', 'number', 'content', 'sale', 'package', '', 'sale', 'package', '', 'bath', 'towel']",specifiion sathiyas coon bath tow  bath tow r ylow e bath tow fture machi wasble yes material coon design sf design geral bra sathiyas type bath tow gsm  mod name sathiyas coon bath tow idl men woman boy girl mod id  color r ylow e size miam dimension length  inch width  inch box nuer coe sale package  sale package  bath tow
Eurospa Cotton Terry Face Towel Set,Baby Care,"Key Features of Eurospa Cotton Terry Face Towel Set Size: small Height: 9 inch GSM: 360,Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Price: Rs. 299 Eurospa brings to you an exclusively designed, 100% soft cotton towels of export quality. All our products have soft texture that takes care of your skin and gives you that enriched feeling you deserve. Eurospa has been exporting its bath towels to lot of renowned brands for last 10 years and is famous for its fine prints, absorbency, softness and durability. NOTE: Our product is 100% cotton, so it is susceptible to shrinkage. Product color may vary from the picture. Size may vary by ±3% WASH CARE: Wash in cold Water, Do not Iron, Do not Bleach, Flat dry, Wash before first use. SIZE- FACE TOWEL - 23 cms X 23 cms.,Specifications of Eurospa Cotton Terry Face Towel Set (20 PIECE FACE TOWEL SET, Assorted) Bath Towel Features Material Cotton Terry Design SHUVAM General Brand Eurospa GSM 360 Type Face Towel Set Model Name SHUVAM20PCFTSETASSORTED Ideal For Boys, Girls, Men, Women Model ID SHUVAM20PCFTSETASSORTED Size small Color Assorted Dimensions Weight 350 g Length 9 inch Width 9 inch In the Box Number of Contents in Sales Package 20 Sales Package 20 PIECE FACE TOWEL SET","['key', 'feature', 'eurospa', 'cotton', 'terry', 'face', 'towel', 'set', 'size', 'small', 'height', '', 'inch', 'gsm', '', 'eurospa', 'cotton', 'terry', 'face', 'towel', 'set', '', 'piece', 'face', 'towel', 'set', 'assort', 'price', 'r', '', 'eurospa', 'brings', 'exclusively', 'design', '', 'soft', 'cotton', 'towel', 'export', 'quality', 'product', 'soft', 'texture', 'take', 'care', 'skin', 'give', 'enrich', 'feel', 'deserve', 'eurospa', 'export', 'bath', 'towel', 'lot', 'renowned', 'brand', 'last', '', 'year', 'famous', 'fine', 'print', 'absorbency', 'softness', 'durability', 'note', 'product', '', 'cotton', 'susceptible', 'shrinkage', 'product', 'color', 'may', 'vary', 'picture', 'size', 'may', 'vary', '', 'wash', 'care', 'wash', 'cold', 'water', 'iron', 'bleach', 'flat', 'dry', 'wash', 'first', 'use', 'size', 'face', 'towel', '', 'cm', 'x', '', 'cm', 'specification', 'eurospa', 'cotton', 'terry', 'face', 'towel', 'set', '', 'piece', 'face', 'towel', 'set', 'assort', 'bath', 'towel', 'feature', 'material', 'cotton', 'terry', 'design', 'shuvam', 'general', 'brand', 'eurospa', 'gsm', '', 'type', 'face', 'towel', 'set', 'model', 'name', 'shuvampcftsetassorted', 'ideal', 'boy', 'girl', 'men', 'woman', 'model', 'id', 'shuvampcftsetassorted', 'size', 'small', 'color', 'assort', 'dimension', 'weight', '', 'g', 'length', '', 'inch', 'width', '', 'inch', 'box', 'number', 'content', 'sale', 'package', '', 'sale', 'package', '', 'piece', 'face', 'towel', 'set']",y fture eurospa coon terry face tow set size small hght  inch gsm  eurospa coon terry face tow set  piece face tow set assort pre r  eurospa brings exclusivy design  soft coon tow export quality produ soft ure  care n give  fe  eurospa export bath tow lot renown bra last   famous fi pri aoency softss durability note produ  coon  siage produ color may vary piure size may vary  wash care wash cold water iron blch flat dry wash first use size face tow  cm x  cm specifiion eurospa coon terry face tow set  piece face tow set assort bath tow fture material coon terry design  geral bra eurospa gsm  type face tow set mod name pcftsessort idl boy girl men woman mod id pcftsessort size small color assort dimension wght  g length  inch width  inch box nuer coe sale package  sale package  piece face tow set
SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,Home Furnishing,"Key Features of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet Royal Bedsheet Perfact for Wedding & Gifting,Specifications of SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet (1 Bedsheet,2 Pillow Cover, Multicolor) General Brand SANTOSH ROYAL FASHION Machine Washable Yes Type Flat Material Cotton Model Name Gold Design Royal Cotton Printed Wedding & Gifted Double Bedsheet With 2 Pillow cover Model ID goldbedi-38 Color Multicolor Size King Fabric Care Machine Wash, Do Not Bleach Dimensions Flat Sheet Width 90 inch / 230 cm Fitted Sheet Width 228 cm Pillow Cover Width 16 inch / 43 cm Pillow Cover Length 28 inch / 72 cm Fitted Sheet Depth 280 cm Fitted Sheet Length 278 cm Flat Sheet Depth 282 cm Flat Sheet Length 110 inch / 280 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 Bedsheet,2 Pillow Cover","['key', 'feature', 'santosh', 'royal', 'fashion', 'cotton', 'print', 'king', 'size', 'double', 'bedsheet', 'royal', 'bedsheet', 'perfact', 'wedding', 'gift', 'specification', 'santosh', 'royal', 'fashion', 'cotton', 'print', 'king', 'size', 'double', 'bedsheet', '', 'bedsheet', '', 'pillow', 'cover', 'multicolor', 'general', 'brand', 'santosh', 'royal', 'fashion', 'machine', 'washable', 'yes', 'type', 'flat', 'material', 'cotton', 'model', 'name', 'gold', 'design', 'royal', 'cotton', 'print', 'wedding', 'gift', 'double', 'bedsheet', '', 'pillow', 'cover', 'model', 'id', 'goldbedi', '', 'color', 'multicolor', 'size', 'king', 'fabric', 'care', 'machine', 'wash', 'bleach', 'dimension', 'flat', 'sheet', 'width', '', 'inch', '', 'cm', 'fit', 'sheet', 'width', '', 'cm', 'pillow', 'cover', 'width', '', 'inch', '', 'cm', 'pillow', 'cover', 'length', '', 'inch', '', 'cm', 'fit', 'sheet', 'depth', '', 'cm', 'fit', 'sheet', 'length', '', 'cm', 'flat', 'sheet', 'depth', '', 'cm', 'flat', 'sheet', 'length', '', 'inch', '', 'cm', 'box', 'number', 'content', 'sale', 'package', '', 'sale', 'package', '', 'bedsheet', '', 'pillow', 'cover']",y fture saosh royal fashion coon pri king size double bsheet royal bsheet perfa wding gift specifiion saosh royal fashion coon pri king size double bsheet  bsheet  pillow cover multolor geral bra saosh royal fashion machi wasble yes type flat material coon mod name gold design royal coon pri wding gift double bsheet  pillow cover mod id goldbi  color multolor size king fabr care machi wash blch dimension flat sheet width  inch  cm fit sheet width  cm pillow cover width  inch  cm pillow cover length  inch  cm fit sheet depth  cm fit sheet length  cm flat sheet depth  cm flat sheet length  inch  cm box nuer coe sale package  sale package  bsheet  pillow cover
Jaipur Print Cotton Floral King sized Double Bedsheet,Home Furnishing,"Key Features of Jaipur Print Cotton Floral King sized Double Bedsheet 100% cotton,Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) Price: Rs. 998 This nice bed sheet made up of 100% cotton to give you comfort. This bed sheet is hand printed. This bedsheet gives nice look to your room And its fast colour and good quality gives this bedsheet long life.,Specifications of Jaipur Print Cotton Floral King sized Double Bedsheet (1 bed sheet 2 pillow cover, White) General Machine Washable Yes Brand Jaipur Print Type Flat Model Name jaipur117 Material Cotton Thread Count 140 Model ID jaipur117 Fabric Care machinewash, do not bleach Size King Color White Warranty waranty of the product only for manufacturing defect only and product will exchange onle when it is not used and returne its origional packing Dimensions Flat Sheet Width 86 inch / 220 cm Fitted Sheet Width 0 cm Pillow Cover Width 17 inch / 45 cm Pillow Cover Length 29 inch / 75 cm Weight 900 g Fitted Sheet Depth 0 cm Fitted Sheet Length 0 cm Flat Sheet Depth 0.2 cm Flat Sheet Length 104 inch / 265 cm In the Box Number of Contents in Sales Package 1 Sales Package 1 bed sheet 2 pillow cover","['key', 'feature', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'double', 'bedsheet', '', 'cotton', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'double', 'bedsheet', '', 'bed', 'sheet', '', 'pillow', 'cover', 'white', 'price', 'r', '', 'nice', 'bed', 'sheet', 'make', '', 'cotton', 'give', 'comfort', 'bed', 'sheet', 'hand', 'print', 'bedsheet', 'give', 'nice', 'look', 'room', 'fast', 'colour', 'good', 'quality', 'give', 'bedsheet', 'long', 'life', 'specification', 'jaipur', 'print', 'cotton', 'floral', 'king', 'size', 'double', 'bedsheet', '', 'bed', 'sheet', '', 'pillow', 'cover', 'white', 'general', 'machine', 'washable', 'yes', 'brand', 'jaipur', 'print', 'type', 'flat', 'model', 'name', 'jaipur', 'material', 'cotton', 'thread', 'count', '', 'model', 'id', 'jaipur', 'fabric', 'care', 'machinewash', 'bleach', 'size', 'king', 'color', 'white', 'warranty', 'waranty', 'product', 'manufacturing', 'defect', 'product', 'exchange', 'onle', 'use', 'returne', 'origional', 'pack', 'dimension', 'flat', 'sheet', 'width', '', 'inch', '', 'cm', 'fit', 'sheet', 'width', '', 'cm', 'pillow', 'cover', 'width', '', 'inch', '', 'cm', 'pillow', 'cover', 'length', '', 'inch', '', 'cm', 'weight', '', 'g', 'fit', 'sheet', 'depth', '', 'cm', 'fit', 'sheet', 'length', '', 'cm', 'flat', 'sheet', 'depth', '', '', 'cm', 'flat', 'sheet', 'length', '', 'inch', '', 'cm', 'box', 'number', 'content', 'sale', 'package', '', 'sale', 'package', '', 'bed', 'sheet', '', 'pillow', 'cover']",y fture jaipur pri coon floral king size double bsheet  coon jaipur pri coon floral king size double bsheet  b sheet  pillow cover white pre r   b sheet ma  coon give comfort b sheet  pri bsheet give  look room fast colour good quality give bsheet long life specifiion jaipur pri coon floral king size double bsheet  b sheet  pillow cover white geral machi wasble yes bra jaipur pri type flat mod name jaipur material coon  cou  mod id jaipur fabr care  blch size king color white warray waray produ manufauring defe produ excnge  use retur origional pack dimension flat sheet width  inch  cm fit sheet width  cm pillow cover width  inch  cm pillow cover length  inch  cm wght  g fit sheet depth  cm fit sheet length  cm flat sheet depth   cm flat sheet length  inch  cm box nuer coe sale package  sale package  b sheet  pillow cover
Maserati Time R8851116001 Analog Watch  - For Boys,Watches,"Maserati Time R8851116001 Analog Watch  - For Boys - Buy Maserati Time R8851116001 Analog Watch  - For Boys  R8851116001 Online at Rs.24400 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['maserati', 'time', 'r', 'analog', 'watch', 'boy', 'buy', 'maserati', 'time', 'r', 'analog', 'watch', 'boy', 'r', 'online', 'r', '', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']",maserati time r analog watch boy buy maserati time r analog watch boy r onli r  iia flipkart com grt discou genui produ  day receme guaraee free sping cash divery
"Camerii WM64 Elegance Analog Watch  - For Men, Boys",Watches,"Camerii WM64 Elegance Analog Watch  - For Men, Boys - Buy Camerii WM64 Elegance Analog Watch  - For Men, Boys  WM64 Online at Rs.449 in India Only at Flipkart.com. - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['camerii', 'wm', 'elegance', 'analog', 'watch', 'men', 'boy', 'buy', 'camerii', 'wm', 'elegance', 'analog', 'watch', 'men', 'boy', 'wm', 'online', 'r', '', 'india', 'flipkart', 'com', 'great', 'discount', 'genuine', 'product', '', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']",camerii wm egance analog watch men boy buy camerii wm egance analog watch men boy wm onli r  iia flipkart com grt discou genui produ  day receme guaraee free sping cash divery
T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys,Watches,"T STAR UFT-TSW-005-BK-BR Analog Watch  - For Boys
                         Price: Rs. 399
				
			Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.
Whether you are on your way to work or travelling abroad with family, lifestyle accessories like watches, wallets and belts help to add a touch of sophistication and class to your otherwise mundane and regular daily wear. When it all comes down to it, suave leather belts and intricately designed and finished timepieces are what separate you from the rest.","['star', 'uft', 'tsw', '', 'bk', 'br', 'analog', 'watch', 'boy', 'price', 'r', '', 'whether', 'way', 'work', 'travel', 'abroad', 'family', 'lifestyle', 'accessory', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'sophistication', 'class', 'otherwise', 'mundane', 'regular', 'daily', 'wear', 'come', 'suave', 'leather', 'belt', 'intricately', 'design', 'finish', 'timepiece', 'separate', 'rest', 'whether', 'way', 'work', 'travel', 'abroad', 'family', 'lifestyle', 'accessory', 'like', 'watch', 'wallet', 'belt', 'help', 'add', 'touch', 'sophistication', 'class', 'otherwise', 'mundane', 'regular', 'daily', 'wear', 'come', 'suave', 'leather', 'belt', 'intricately', 'design', 'finish', 'timepiece', 'separate', 'rest']",sr  t  bk br analog watch boy pre r  whether way work tr abroad family lifestyle accessory li watch wallet bt hp add touch sophistiion class otherwise mua regular daily  come sue lther bt iriy design finish timepiece separate rest whether way work tr abroad family lifestyle accessory li watch wallet bt hp add touch sophistiion class otherwise mua regular daily  come sue lther bt iriy design finish timepiece separate rest
"Alfajr WY16B Youth Digital Watch  - For Men, Boys",Watches,"Alfajr WY16B Youth Digital Watch  - For Men, Boys - Buy Alfajr WY16B Youth Digital Watch  - For Men, Boys  WY16B Online at Rs.4995 in India Only at Flipkart.com. Azan Times ( For All Cities Around The World ), Prayer Reminders, Qibla Direction, Hijri And Gregorian Calnedars, Qur'An Bookmark, Daily Alrams - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['alfajr', 'wyb', 'youth', 'digital', 'watch', 'men', 'boy', 'buy', 'alfajr', 'wyb', 'youth', 'digital', 'watch', 'men', 'boy', 'wyb', 'online', 'r', '', 'india', 'flipkart', 'com', 'azan', 'time', 'city', 'around', 'world', 'prayer', 'reminder', 'qibla', 'direction', 'hijri', 'gregorian', 'calnedars', 'qur', 'bookmark', 'daily', 'alrams', 'great', 'discount', 'genuine', 'product', '', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']",alfajr wyb youth digil watch men boy buy alfajr wyb youth digil watch men boy wyb onli r  iia flipkart com azan time city arou world er remier qibla on   nars   daily  grt discou genui produ  day receme guaraee free sping cash divery
"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men",Watches,"TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men - Buy TAG Heuer CAU1116.BA0858 Formula 1 Analog Watch  - For Boys, Men  CAU1116.BA0858 Online at Rs.107750 in India Only at Flipkart.com. Swiss-made, Quartz movement, Scratch resistant, Sapphire crystal glass, Water resistant to 200 metres, Feature Chronograph - Great Discounts, Only Genuine Products, 30 Day Replacement Guarantee, Free Shipping. Cash On Delivery!","['tag', 'heuer', 'cau', 'ba', 'formula', '', 'analog', 'watch', 'boy', 'men', 'buy', 'tag', 'heuer', 'cau', 'ba', 'formula', '', 'analog', 'watch', 'boy', 'men', 'cau', 'ba', 'online', 'r', '', 'india', 'flipkart', 'com', 'swiss', 'make', 'quartz', 'movement', 'scratch', 'resistant', 'sapphire', 'crystal', 'glass', 'water', 'resistant', '', 'metre', 'feature', 'chronograph', 'great', 'discount', 'genuine', 'product', '', 'day', 'replacement', 'guarantee', 'free', 'shipping', 'cash', 'delivery']",g heuer cau ba formula  analog watch boy men buy g heuer cau ba formula  analog watch boy men cau ba onli r  iia flipkart com iss ma quartz eme scratch resis  crysl glass water resis   fture conograph grt discou genui produ  day receme guaraee free sping cash divery
